report_date;branch;subs_id;cnt_days;m;m_chrg;mb;mb_chrg;all_chrg;rev;tp_group
2019-06-01;Регион1;100037900781;4;3.67;12.59;352.50;562.59;582.04;1524.87;Т2
2019-06-01;Регион1;100048774130;6;0.00;0.00;0.00;0.01;0.01;291.67;Т3
2019-06-01;Регион1;100034567775;1;0.00;0.00;0.00;0.00;0.00;338.33;Т2
2019-06-01;Регион1;100037923118;1;0.40;0.00;;0.00;0.00;362.50;Т4
2019-06-01;Регион1;100034523456;1;0.00;0.00;0.00;0.00;0.00;250.00;T1
2019-06-01;Регион1;100054870913;2;5.23;0.00;3.20;4.40;4.40;2192.25;Т2
2019-06-01;Регион1;100063739375;2;0.00;0.00;0.00;0.00;0.00;291.67;Т3
2019-06-01;Регион1;100055783008;1;0.00;0.00;0.00;0.00;0.00;291.67;Т3
2019-06-01;Регион1;100065107214;2;0.00;0.00;0.00;0.03;0.03;0.00;Т3
2019-06-01;Регион1;100034648076;1;0.00;0.00;338.90;540.86;544.29;2737.50;Т2
2019-06-01;Регион1;100034489431;3;0.00;0.00;306.60;419.16;419.16;970.33;Т4
2019-06-01;Регион1;100053036174;1;0.00;0.00;0.00;0.00;0.00;0.00;Т3
2019-06-01;Регион1;100061509430;2;9.02;0.00;21.30;33.42;33.42;1292.18;Т3
2019-06-01;Регион1;100054332991;5;10.02;98.43;0.00;0.00;98.43;1165.17;T1
2019-06-01;Регион1;100059333584;1;0.00;0.00;0.30;0.42;0.42;464.00;Т2
2019-06-01;Регион1;100061099058;3;0.00;0.00;0.90;1.21;1.21;148.54;Т2
2019-06-01;Регион1;100034541720;2;0.00;0.00;;0.00;5.95;761.83;other
2019-06-01;Регион1;100045651833;4;0.00;0.00;0.20;0.32;0.32;259.50;other
2019-06-01;Регион1;100062439990;4;0.00;0.00;1.80;2.99;2.99;743.67;Т3
2019-06-01;Регион1;100034567537;1;0.47;12.76;;0.00;12.76;269.17;other
2019-06-01;Регион1;100053954208;1;0.00;0.00;0.00;0.00;0.00;0.00;T1
2019-06-01;Регион1;100034629288;1;0.00;0.00;0.60;0.97;0.97;208.33;Т2
2019-06-01;Регион1;100034688241;1;0.82;0.00;;0.00;0.00;32.42;Т3
2019-06-01;Регион1;100060499517;11;0.00;0.00;955.60;1411.93;1411.93;943.33;Т5
2019-06-01;Регион1;100063794668;1;0.00;0.00;;0.00;2.52;1179.54;Т2
2019-06-01;Регион1;100040375751;1;0.00;0.00;;0.00;2.52;220.08;other
2019-06-01;Регион1;100065760491;7;34.75;4.38;;0.00;4.38;0.00;other
2019-06-01;Регион1;100065107283;1;0.00;0.00;0.00;0.00;0.00;375.00;Т3
2019-06-01;Регион1;100049729358;2;1.33;6.68;108.60;170.06;199.83;862.04;Т2
2019-06-01;Регион1;100055750343;9;0.00;0.00;510.60;815.22;842.66;372.50;Т3
2019-06-01;Регион1;100065396686;3;0.00;0.00;0.90;1.49;1.49;291.67;Т3
2019-06-01;Регион1;100053750865;1;0.00;0.00;0.00;0.00;0.00;375.42;Т2
2019-06-01;Регион1;100065396984;4;0.00;0.00;382.60;609.13;609.13;1.25;Т3
2019-06-01;Регион1;100044491374;1;0.00;0.00;0.20;0.25;0.25;416.67;Т4
2019-06-01;Регион1;100060039175;5;0.00;0.00;0.00;0.00;0.00;371.29;Т3
2019-06-01;Регион1;100049574887;19;0.00;0.00;6762.20;10798.71;10839.86;1353.33;Т5
2019-06-01;Регион1;100053831140;1;0.00;0.00;0.10;0.10;0.10;440.67;Т4
2019-06-01;Регион1;100057231121;1;0.00;0.00;0.00;0.00;13.72;464.00;T1
2019-06-01;Регион1;100037867913;13;140.65;114.00;;0.00;114.00;1520.75;T1
2019-06-01;Регион1;100061573840;1;5.73;0.00;;0.00;5.95;182.92;T1
2019-06-01;Регион1;100054099176;2;0.72;0.00;0.20;0.36;0.36;127.67;Т4
2019-06-01;Регион1;100055177426;1;0.00;0.00;0.10;0.16;0.16;0.00;T1
2019-06-01;Регион1;100061099143;1;0.00;0.00;0.30;0.54;0.54;499.58;other
2019-06-01;Регион1;100034618144;1;0.47;0.00;;0.00;0.00;1123.04;other
2019-06-01;Регион1;100034583912;3;0.25;0.00;366.70;564.71;564.71;1242.46;Т2
2019-06-01;Регион1;100053669360;1;0.68;0.00;;0.00;0.00;534.17;Т3
2019-06-01;Регион1;100065105960;1;0.00;0.00;0.60;0.82;0.82;0.83;Т2
2019-06-01;Регион1;100044023744;1;0.00;0.00;0.10;0.09;0.09;262.38;Т2
2019-06-01;Регион1;100034618747;3;0.00;0.00;717.30;840.75;840.75;973.33;other
2019-06-01;Регион1;100049283726;1;1.03;11.83;;0.00;11.83;388.71;Т3
